Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
174,1857,1996,5.65625,5.6875,5.4375,0.005524861878453136,1997-05-06,1997-11-20,198 days
107,2159,2171,9.390625,8.46875,-98.640625,-0.09816971713810319,1998-07-17,1998-08-04,18 days
160,2028,2382,6.1875,11.65625,875.0,0.8838383838383839,1998-01-08,1999-06-07,515 days
82,2486,2530,12.390625,10.90625,-121.71875,-0.11979823455233296,1999-11-02,2000-01-05,64 days
65,2867,2953,15.125,13.0649995803833,-133.90002727508545,-0.13619837485069086,2001-05-08,2001-09-10,125 days
86,2593,2996,11.4375,12.5,91.375,0.09289617486338808,2000-04-05,2001-11-14,588 days
62,3295,3358,16.049999237060547,15.390000343322754,-40.919931411743164,-0.041121428355822665,2003-01-24,2003-04-25,91 days
76,3012,3358,13.164999961853027,15.390000343322754,169.10002899169922,0.16900876474871995,2001-12-07,2003-04-25,504 days
50,3724,3730,20.25,19.200004577636683,-52.49977111816584,-0.051851625795719336,2004-10-07,2004-10-15,8 days
55,3550,3739,18.18000030517578,17.80500030517578,-20.625,-0.020627062360017656,2004-01-29,2004-10-28,273 days
60,3476,3739,17.200000762939453,17.80500030517578,36.29997253417969,0.03517439043025572,2003-10-13,2004-10-28,381 days
62,3434,3739,16.09000015258789,17.80500030517578,106.33000946044922,0.10658795129421139,2003-08-13,2004-10-28,442 days
50,3773,3818,19.940000534057617,18.690000534057617,-62.5,-0.06268806251358894,2004-12-16,2005-02-22,68 days
43,4063,4097,23.424999237060547,22.389997482299805,-44.505075454711914,-0.04418364091655003,2006-02-10,2006-03-31,49 days
44,3963,4098,22.84499931335449,22.600000381469727,-10.779953002929531,-0.010724400930121392,2005-09-19,2006-04-03,196 days
41,4124,4177,24.27499961853028,21.334999084472656,-120.54002189636259,-0.1211122793103313,2006-05-10,2006-07-26,77 days
44,4219,4241,22.684999465942383,21.48999786376953,-52.58007049560547,-0.05267805291187866,2006-09-25,2006-10-25,30 days
41,4361,4730,24.71999931335449,23.389997482299805,-54.530075073242045,-0.053802664563027625,2007-04-20,2008-10-06,535 days
43,4289,4732,22.81999969482422,21.545003890991193,-54.8248195648201,-0.05587185893443314,2007-01-05,2008-10-08,642 days
75,4863,4906,13.125,14.904999732971191,133.49997997283936,0.13561902727399544,2009-04-17,2009-06-18,62 days
49,4940,5131,20.184999465942383,24.34000015258789,203.59503364562988,0.20584596465588878,2009-08-06,2010-05-11,278 days
35,5296,5344,28.770000457763672,24.56999969482422,-147.00002670288086,-0.14598542565563533,2011-01-04,2011-03-15,70 days
41,5561,5614,23.854999542236328,21.625001907348658,-91.42990303039448,-0.09348135307818228,2012-01-24,2012-04-10,77 days
44,5548,5615,22.375,21.440000534057617,-41.139976501464844,-0.041787685628709825,2012-01-04,2012-04-11,98 days
46,5500,5615,21.52499961853028,21.440000534057617,-3.9099578857425143,-0.003948854168596139,2011-10-25,2012-04-11,169 days
32,5983,6194,31.040000915527344,29.854995727539062,-37.920166015625,-0.038176712404525026,2013-09-27,2014-07-31,307 days
32,6175,6195,31.424999237060547,29.265001296997074,-69.11993408203114,-0.06873501965009166,2014-07-03,2014-08-01,29 days
32,6107,6195,31.32999992370605,29.455003738403338,-59.99987792968682,-0.059846670599063234,2014-03-27,2014-08-01,127 days
38,5875,6196,25.614999771118164,29.559999465942383,149.9099884033203,0.1540113109535277,2013-04-25,2014-08-04,466 days
32,6335,6462,30.940000534057617,27.834999084472656,-99.36004638671875,-0.1003555719453556,2015-02-23,2015-08-24,182 days
34,6274,6462,29.84000015258789,27.834999084472656,-68.17003631591797,-0.06719172445920207,2014-11-21,2015-08-24,276 days
31,6508,6544,31.51000022888184,29.449995040893572,-63.86016082763628,-0.06537623525943614,2015-10-28,2015-12-18,51 days
22,7106,7117,45.19499969482422,42.43000030517578,-60.829986572265625,-0.06117932090538525,2018-03-15,2018-04-02,18 days
28,6839,7188,35.529998779296875,42.70000076293945,200.7600555419922,0.20180135744391015,2017-02-22,2018-07-12,505 days
28,6793,7188,34.845001220703125,42.70000076293945,219.9399871826172,0.22542686948075885,2016-12-14,2018-07-12,575 days
32,6596,7188,30.290000915527344,42.70000076293945,397.1199951171875,0.40970615623357287,2016-03-07,2018-07-12,857 days
21,7211,7252,46.31999969482422,44.35000228881836,-41.36994552612305,-0.04253016880364935,2018-08-14,2018-10-11,58 days
19,7505,7594,52.59999847412109,50.0099983215332,-49.21000289916979,-0.049239548055541316,2019-10-15,2020-02-24,132 days
17,7969,7991,56.7400016784668,52.60999298095703,-70.21014785766602,-0.0727883076372402,2021-08-18,2021-09-20,33 days
24,7776,7992,41.4900016784668,52.41999816894531,262.3199157714844,0.2634368775200884,2020-11-10,2021-09-21,315 days
26,7722,7992,37.77999877929688,52.41999816894531,380.6399841308592,0.3875066136230536,2020-08-25,2021-09-21,392 days
12,8622,8756,84.2300033569336,114.11000061035156,358.5599670410156,0.3547429189430078,2024-03-25,2024-10-04,193 days
15,8400,8756,67.69000244140625,114.11000061035156,696.2999725341797,0.6857733268532136,2023-05-05,2024-10-04,518 days
16,8216,8756,62.18999862670898,114.11000061035156,830.7200317382814,0.8348609604462076,2022-08-11,2024-10-04,785 days
17,8026,8756,56.9900016784668,114.11000061035156,971.039981842041,1.0022810536864237,2021-11-08,2024-10-04,1061 days
